date,open,close,high,low,volume
2014-01-02,2323.430,2321.980,2325.990,2310.650,45194291.000
2014-01-03,2311.970,2290.780,2314.840,2280.890,59782645.000
2014-01-06,2286.370,2238.640,2286.370,2229.330,66300403.000
2014-01-07,2222.310,2238.000,2246.790,2218.650,43753103.000
2014-01-08,2240.640,2241.910,2262.580,2228.420,51348854.000
2014-01-09,2236.970,2222.220,2258.890,2220.800,55987041.000
2014-01-10,2216.520,2204.850,2224.490,2200.220,54169293.000
2014-01-13,2207.000,2193.680,2222.070,2183.600,50122772.000
2014-01-14,2192.840,2212.850,2214.120,2179.910,54049947.000
2014-01-15,2210.020,2208.940,2215.900,2193.800,48962395.000
2014-01-16,2209.450,2211.840,2227.260,2201.560,52298902.000
2014-01-17,2203.820,2178.490,2205.970,2175.880,50273155.000
2014-01-20,2173.650,2165.990,2182.460,2156.460,40560154.000
2014-01-21,2168.420,2187.410,2197.920,2168.420,40306247.000
2014-01-22,2190.430,2243.800,2244.130,2187.530,70641375.000
2014-01-23,2242.250,2231.890,2248.920,2228.060,56345951.000
2014-01-24,2225.760,2245.680,2257.350,2222.890,61167670.000
2014-01-27,2233.010,2215.920,2233.230,2211.800,70344246.000
2014-01-28,2220.780,2219.850,2233.260,2205.970,53269130.000
2014-01-29,2225.710,2227.780,2233.060,2219.930,50222717.000
2014-01-30,2223.160,2202.450,2223.160,2200.220,43632304.000
2014-02-07,2187.340,2212.480,2212.500,2177.120,50459315.000
2014-02-10,2221.540,2267.530,2270.190,2221.540,83065716.000
2014-02-11,2267.740,2285.560,2296.520,2262.600,99229829.000
2014-02-12,2286.190,2291.250,2294.320,2276.440,76592161.000
2014-02-13,2288.450,2279.550,2307.470,2278.260,96217789.000
2014-02-14,2278.400,2295.570,2295.850,2274.430,67082997.000
2014-02-17,2308.790,2311.650,2315.580,2293.550,87831666.000
2014-02-18,2310.310,2282.440,2310.310,2276.110,87049743.000
2014-02-19,2280.930,2308.660,2317.420,2274.150,99352561.000
2014-02-20,2314.090,2287.440,2331.700,2286.200,106439533.000
2014-02-21,2284.030,2264.290,2287.870,2250.650,76368993.000
2014-02-24,2246.720,2214.510,2246.720,2194.160,89215939.000
2014-02-25,2216.510,2157.910,2225.210,2150.090,93237551.000
2014-02-26,2147.740,2163.410,2164.700,2137.080,77993297.000
2014-02-27,2170.810,2154.110,2180.060,2150.140,90104296.000
2014-02-28,2149.450,2178.970,2180.470,2133.550,76668057.000
2014-03-03,2173.910,2190.370,2194.220,2167.910,82072314.000
2014-03-04,2183.860,2184.270,2188.600,2161.590,73069250.000
2014-03-05,2187.350,2163.980,2189.090,2159.590,61332015.000
2014-03-06,2159.400,2173.630,2181.430,2136.450,69093767.000
2014-03-07,2170.040,2168.360,2189.390,2161.440,64265177.000
2014-03-10,2149.680,2097.790,2149.680,2095.070,71416407.000
2014-03-11,2092.610,2108.660,2118.790,2088.730,57621243.000
2014-03-12,2102.800,2114.130,2130.590,2090.760,70069747.000
2014-03-13,2119.550,2140.330,2149.440,2115.990,69226028.000
2014-03-14,2129.870,2122.840,2140.380,2109.570,58617737.000
2014-03-17,2132.790,2143.040,2143.200,2118.950,52409445.000
2014-03-18,2146.120,2138.130,2152.460,2134.920,55354132.000
2014-03-19,2131.280,2120.870,2131.280,2101.280,59303905.000
2014-03-20,2116.190,2086.970,2134.790,2086.500,67631285.000
2014-03-21,2079.870,2158.800,2163.230,2077.760,104024807.000
2014-03-24,2161.900,2176.550,2186.730,2150.870,104491984.000
2014-03-25,2170.780,2174.440,2191.490,2164.670,86877510.000
2014-03-26,2181.230,2171.050,2186.080,2165.220,58276176.000
2014-03-27,2168.340,2155.710,2186.890,2146.920,71275132.000
2014-03-28,2154.510,2151.970,2172.670,2144.580,70086073.000
2014-03-31,2156.050,2146.300,2165.250,2134.420,55457488.000
2014-04-01,2143.720,2163.110,2170.090,2141.150,48866403.000
2014-04-02,2166.070,2180.730,2182.680,2164.010,65039257.000
2014-04-03,2188.640,2165.010,2196.140,2160.750,71536032.000
2014-04-04,2157.980,2185.470,2186.150,2155.280,47945888.000
2014-04-08,2179.920,2237.320,2243.970,2178.910,97219117.000
2014-04-09,2239.790,2238.620,2246.790,2228.990,66357268.000
2014-04-10,2241.450,2273.760,2290.740,2229.510,114545405.000
2014-04-11,2269.560,2270.670,2281.100,2261.130,90615897.000
2014-04-14,2267.940,2268.610,2275.830,2255.460,62264998.000
2014-04-15,2261.410,2229.460,2261.470,2225.690,68218130.000
2014-04-16,2223.470,2232.530,2245.310,2221.150,51678010.000
2014-04-17,2238.780,2224.800,2241.620,2221.950,48333628.000
2014-04-18,2215.880,2224.480,2228.770,2203.050,50757995.000
2014-04-21,2209.940,2187.250,2231.710,2186.750,56278280.000
2014-04-22,2184.020,2196.790,2196.850,2165.070,57094694.000
2014-04-23,2191.230,2194.240,2205.590,2187.390,45197052.000
2014-04-24,2192.770,2190.470,2209.450,2186.760,45058911.000
2014-04-25,2195.810,2167.830,2201.710,2167.640,60245383.000
2014-04-28,2165.770,2134.970,2171.390,2132.700,60485187.000
2014-04-29,2134.410,2158.470,2159.380,2131.780,48204931.000
2014-04-30,2158.760,2158.660,2164.180,2153.120,45334624.000
2014-05-05,2152.590,2156.470,2161.700,2131.230,49344073.000
2014-05-06,2151.390,2157.330,2173.620,2150.110,48086519.000
2014-05-07,2151.470,2137.320,2153.720,2136.990,44607470.000
2014-05-08,2132.040,2135.500,2168.210,2128.320,48332452.000
2014-05-09,2138.840,2133.910,2141.560,2120.590,49181135.000
2014-05-12,2150.310,2180.050,2184.330,2139.480,83472560.000
2014-05-13,2180.060,2174.850,2185.050,2167.770,64912518.000
2014-05-14,2175.090,2172.370,2184.220,2169.000,48514206.000
2014-05-15,2169.280,2144.080,2171.450,2142.340,46734032.000
2014-05-16,2143.930,2145.950,2150.500,2132.190,42253197.000
2014-05-19,2139.360,2115.140,2139.360,2105.710,42893607.000
2014-05-20,2124.710,2115.770,2131.570,2110.720,37299683.000
2014-05-21,2106.760,2135.910,2136.100,2096.510,38946042.000
2014-05-22,2134.090,2130.870,2160.910,2128.860,46252736.000
2014-05-23,2130.770,2148.410,2148.580,2128.660,37623105.000
2014-05-26,2161.890,2155.980,2165.420,2147.450,39550656.000
2014-05-27,2154.400,2147.280,2160.030,2145.750,35897171.000
2014-05-28,2147.470,2169.350,2171.170,2142.010,50056260.000
2014-05-29,2171.260,2155.160,2178.090,2154.930,44891556.000
2014-05-30,2156.380,2156.460,2166.910,2146.220,43923863.000
2014-06-03,2157.640,2149.920,2169.000,2149.290,41982954.000
2014-06-04,2149.410,2128.270,2149.450,2117.310,41817249.000
2014-06-05,2126.610,2150.600,2150.930,2123.520,36477424.000
2014-06-06,2149.210,2134.720,2149.780,2123.980,35738058.000
2014-06-09,2128.230,2134.280,2153.900,2126.670,39311060.000
2014-06-10,2138.670,2161.270,2161.530,2132.450,50507902.000
2014-06-11,2156.150,2160.770,2163.610,2152.080,42563718.000
2014-06-12,2156.760,2153.410,2160.990,2148.410,43025843.000
2014-06-13,2150.990,2176.240,2183.650,2150.570,59252876.000
2014-06-16,2176.440,2191.850,2196.340,2174.280,63296875.000
2014-06-17,2185.680,2169.670,2185.680,2168.450,49933665.000
2014-06-18,2169.250,2160.240,2172.550,2158.500,49463897.000
2014-06-19,2161.430,2126.910,2166.410,2119.500,53162645.000
2014-06-20,2124.960,2136.730,2137.030,2120.810,42393719.000
2014-06-23,2137.930,2134.110,2147.230,2132.450,41179258.000
2014-06-24,2131.690,2144.820,2145.210,2130.290,40164356.000
2014-06-25,2141.730,2133.370,2141.730,2126.030,37666100.000
2014-06-26,2135.160,2149.080,2151.110,2134.890,44351166.000
2014-06-27,2146.370,2150.260,2159.530,2138.930,52722896.000
2014-06-30,2152.310,2165.120,2168.220,2152.310,54304188.000
2014-07-01,2169.200,2164.560,2171.150,2157.130,53323100.000
2014-07-02,2164.000,2170.870,2171.510,2155.610,59685501.000
2014-07-03,2169.000,2180.190,2184.960,2164.840,63690690.000
2014-07-04,2180.450,2178.700,2183.800,2174.070,52851106.000
2014-07-07,2178.550,2176.290,2186.200,2171.080,50242334.000
2014-07-08,2174.830,2180.470,2180.780,2163.360,50743599.000
2014-07-09,2178.140,2148.710,2178.510,2148.260,62022046.000
