date,open,close,high,low,volume
2019-06-25,0.988,0.980,0.990,0.978,544035.000
2019-06-26,0.980,0.985,0.988,0.975,271986.000
2019-06-27,0.990,0.995,0.995,0.988,150976.000
2019-06-28,0.990,0.986,0.991,0.983,153659.000
2019-07-01,0.995,0.999,1.001,0.991,302871.000
2019-07-02,0.993,0.994,0.996,0.990,61619.000
2019-07-03,0.990,0.984,0.990,0.982,38787.000
2019-07-04,0.984,0.994,0.994,0.984,61493.000
2019-07-05,0.992,0.993,0.994,0.991,37304.000
2019-07-08,0.989,0.984,0.989,0.982,47433.000
2019-07-09,0.986,0.983,0.987,0.982,25005.000
2019-07-10,0.983,0.981,0.983,0.981,21415.000
2019-07-11,0.984,0.985,0.987,0.983,26480.000
2019-07-12,0.989,0.986,0.989,0.984,24305.000
2019-07-15,0.991,0.987,0.991,0.987,26821.000
2019-07-16,0.982,0.982,0.984,0.980,84912.000
2019-07-17,0.980,0.981,0.981,0.975,80913.000
2019-07-18,0.973,0.967,0.974,0.965,49413.000
2019-07-19,0.976,0.983,0.984,0.976,54646.000
2019-07-22,0.980,0.979,0.980,0.977,28072.000
2019-07-23,0.989,0.988,1.000,0.983,36111.000
2019-07-24,0.991,0.989,0.992,0.989,22495.000
2019-07-25,0.990,0.992,0.993,0.990,38600.000
2019-07-26,0.983,0.985,0.985,0.980,32287.000
2019-07-29,0.983,0.983,0.984,0.981,94350.000
2019-07-30,0.986,0.986,0.990,0.986,13519.000
2019-07-31,0.980,0.981,0.982,0.979,106132.000
2019-08-01,0.979,0.977,0.980,0.976,177567.000
2019-08-02,0.965,0.975,0.981,0.965,205476.000
2019-08-05,0.977,0.978,0.990,0.972,49260.000
2019-08-06,0.978,0.975,0.978,0.964,52128.000
2019-08-07,0.965,0.976,0.980,0.965,54550.000
2019-08-08,0.986,0.983,0.986,0.980,29341.000
2019-08-09,0.990,0.990,0.991,0.986,63436.000
2019-08-12,0.990,0.990,0.995,0.980,62309.000
2019-08-13,0.985,0.984,0.985,0.981,33161.000
2019-08-14,0.989,0.981,0.989,0.978,129602.000
2019-08-15,0.978,0.973,0.978,0.971,70004.000
2019-08-16,0.970,0.975,0.975,0.970,47292.000
2019-08-19,0.979,0.979,0.980,0.975,36932.000
2019-08-20,0.979,0.982,0.984,0.975,35696.000
2019-08-21,0.982,0.984,0.984,0.982,27340.000
2019-08-22,0.986,0.984,0.988,0.983,36610.000
2019-08-23,0.990,0.989,0.990,0.984,38804.000
2019-08-26,0.988,0.985,0.988,0.974,33231.000
2019-08-27,0.988,0.993,0.995,0.988,53268.000
2019-08-28,0.995,0.994,0.998,0.994,28259.000
2019-08-29,0.991,0.994,0.994,0.986,35788.000
2019-08-30,0.999,0.999,1.001,0.996,84758.000
2019-09-02,0.999,0.999,1.001,0.999,29733.000
2019-09-03,1.001,1.000,1.001,1.000,24934.000
2019-09-04,1.000,1.003,1.004,1.000,43568.000
2019-09-05,1.011,1.017,1.019,1.011,84916.000
2019-09-06,1.020,1.013,1.024,1.013,40876.000
2019-09-09,1.016,1.019,1.019,1.014,31536.000
2019-09-10,1.020,1.017,1.020,1.016,19746.000
2019-09-11,1.019,1.025,1.026,1.018,30582.000
2019-09-12,1.029,1.029,1.031,1.029,17121.000
2019-09-16,1.035,1.033,1.037,1.033,17466.000
2019-09-17,1.033,1.030,1.033,1.028,29162.000
2019-09-18,1.030,1.032,1.034,1.030,16655.000
2019-09-19,1.037,1.040,1.045,1.036,73788.000
2019-09-20,1.040,1.046,1.050,1.040,38707.000
2019-09-23,1.046,1.048,1.050,1.046,11495.000
2019-09-24,1.052,1.051,1.057,1.051,30573.000
2019-09-25,1.051,1.043,1.051,1.042,20002.000
2019-09-26,1.046,1.044,1.048,1.043,31406.000
2019-09-27,1.041,1.041,1.043,1.040,25415.000
2019-09-30,1.040,1.035,1.040,1.032,23501.000
2019-10-08,1.035,1.033,1.035,1.030,30854.000
2019-10-09,1.031,1.032,1.032,1.026,26119.000
2019-10-10,1.035,1.033,1.035,1.031,19742.000
2019-10-11,1.037,1.037,1.039,1.034,23065.000
2019-10-14,1.038,1.034,1.038,1.030,16785.000
2019-10-15,1.042,1.048,1.051,1.042,23935.000
2019-10-16,1.054,1.059,1.061,1.054,43889.000
2019-10-17,1.061,1.058,1.063,1.057,14866.000
2019-10-18,1.062,1.059,1.065,1.057,38051.000
2019-10-21,1.060,1.063,1.063,1.059,16800.000
2019-10-22,1.063,1.066,1.066,1.061,20455.000
2019-10-23,1.066,1.068,1.069,1.064,14702.000
2019-10-24,1.071,1.072,1.073,1.069,11162.000
2019-10-25,1.074,1.074,1.074,1.069,7546.000
2019-10-28,1.074,1.074,1.076,1.074,6444.000
2019-10-29,1.076,1.078,1.079,1.076,6500.000
2019-10-30,1.077,1.073,1.077,1.073,6096.000
2019-10-31,1.074,1.077,1.077,1.074,3660.000
2019-11-01,1.076,1.075,1.077,1.074,6781.000
2019-11-04,1.077,1.079,1.082,1.077,7532.000
2019-11-05,1.083,1.090,1.091,1.083,14054.000
2019-11-06,1.091,1.086,1.091,1.076,13183.000
2019-11-07,1.089,1.088,1.089,1.083,4331.000
2019-11-08,1.085,1.083,1.085,1.081,10322.000
2019-11-11,1.073,1.080,1.084,1.073,4895.000
2019-11-12,1.085,1.092,1.092,1.083,16702.000
2019-11-13,1.090,1.085,1.090,1.081,5471.000
2019-11-14,1.083,1.080,1.087,1.077,12577.000
2019-11-15,1.091,1.092,1.092,1.088,4957.000
2019-11-18,1.092,1.092,1.092,1.089,5162.000
2019-11-19,1.091,1.090,1.091,1.084,7564.000
2019-11-20,1.088,1.085,1.088,1.082,5799.000
2019-11-21,1.080,1.079,1.082,1.069,10940.000
2019-11-22,1.083,1.083,1.090,1.083,8946.000
2019-11-25,1.090,1.093,1.098,1.090,9355.000
2019-11-26,1.104,1.094,1.104,1.090,19442.000
2019-11-27,1.100,1.099,1.100,1.097,2420.000
2019-11-28,1.095,1.093,1.095,1.092,14424.000
2019-11-29,1.093,1.092,1.094,1.092,22928.000
2019-12-02,1.097,1.092,1.108,1.090,22246.000
2019-12-03,1.081,1.085,1.090,1.081,11474.000
2019-12-04,1.080,1.080,1.082,1.079,20117.000
2019-12-05,1.088,1.092,1.092,1.088,9083.000
2019-12-06,1.107,1.094,1.107,1.089,2823.000
2019-12-09,1.096,1.098,1.099,1.095,6937.000
2019-12-10,1.097,1.096,1.100,1.095,13761.000
2019-12-11,1.096,1.091,1.096,1.090,13531.000
2019-12-12,1.095,1.094,1.097,1.094,14057.000
2019-12-13,1.105,1.109,1.109,1.105,14481.000
2019-12-16,1.109,1.107,1.109,1.102,24732.000
2019-12-17,1.108,1.110,1.111,1.107,7371.000
2019-12-18,1.106,1.103,1.109,1.102,21328.000
2019-12-19,1.103,1.101,1.103,1.099,10566.000
2019-12-20,1.112,1.101,1.112,1.097,10479.000
2019-12-23,1.097,1.101,1.104,1.097,8405.000
2019-12-24,1.101,1.103,1.104,1.101,3731.000
2019-12-25,1.100,1.105,1.105,1.100,15017.000
2019-12-26,1.104,1.107,1.107,1.102,11955.000
2019-12-27,1.107,1.104,1.108,1.102,12147.000
2019-12-30,1.099,1.099,1.099,1.098,9564.000
2019-12-31,1.097,1.099,1.101,1.097,13541.000
2020-01-02,1.100,1.100,1.100,1.095,10376.000
2020-01-03,1.101,1.099,1.104,1.096,12706.000
2020-01-06,1.091,1.091,1.092,1.081,29438.000
2020-01-07,1.094,1.096,1.097,1.089,22626.000
2020-01-08,1.086,1.079,1.086,1.069,15015.000
2020-01-09,1.086,1.095,1.095,1.085,13082.000
2020-01-10,1.095,1.093,1.095,1.093,7546.000
2020-01-13,1.093,1.091,1.093,1.089,5434.000
2020-01-14,1.092,1.090,1.092,1.089,3768.000
2020-01-15,1.090,1.082,1.090,1.081,13473.000
2020-01-16,1.082,1.087,1.089,1.082,20802.000
2020-01-17,1.087,1.091,1.091,1.087,10293.000
2020-01-20,1.091,1.088,1.091,1.086,5231.000
2020-01-21,1.088,1.081,1.089,1.079,18126.000
2020-01-22,1.087,1.087,1.087,1.083,7042.000
2020-01-23,1.084,1.083,1.086,1.081,3876.000
